datetime,ERCOT.LOAD,ERCOT.PVGR.GEN,ERCOT.WIND.GEN,NET_LOAD,scenario
2025-01-01 00:00:00,44715.45590277778,0.703510908484459,13285.939850260416,31428.81254160888,baseline
2025-01-01 01:00:00,44110.29101128472,0.7248388706975513,14369.247057291666,29740.31911512236,baseline
2025-01-01 02:00:00,43795.57606987847,0.7434245814217462,14888.718368055555,28906.114277241497,baseline
2025-01-01 03:00:00,43630.22015625,0.7424294437964757,15306.719254557293,28322.75847224891,baseline
2025-01-01 04:00:00,43519.32366753472,0.7528794136974547,15025.925239800346,28492.64554832068,baseline
2025-01-01 05:00:00,43405.02808159722,0.7610781568288804,14533.832936197916,28870.43406724248,baseline
2025-01-01 06:00:00,44283.52310763889,0.761337112320794,13816.766783854167,30465.9949866724,baseline
2025-01-01 07:00:00,45377.646536458335,0.7683999658293195,13888.115163845488,31488.76297264702,baseline
2025-01-01 08:00:00,46309.21947482639,425.60805295593207,12594.33648654514,33289.27493532532,baseline
2025-01-01 09:00:00,46825.202855902775,7622.051936306423,9984.72621202257,29218.42470757378,baseline
2025-01-01 10:00:00,47131.74827256944,16638.234344618057,7872.005112847222,22621.508815104164,baseline
2025-01-01 11:00:00,47276.67506944444,18604.12832248264,7717.370464952257,20955.176282009543,baseline
2025-01-01 12:00:00,46524.09295572917,18484.537159288197,6782.058583984375,21257.4972124566,baseline
2025-01-01 13:00:00,45351.827879774304,17900.52650607639,5886.002196180556,21565.29917751736,baseline
2025-01-01 14:00:00,44939.30490451389,18145.68776909722,5309.832826605903,21483.78430881077,baseline
2025-01-01 15:00:00,44680.55547309028,18328.865288628476,4986.361904839409,21365.3282796224,baseline
2025-01-01 16:00:00,44216.28831163194,17584.257862413193,5057.003190104167,21575.027259114584,baseline
2025-01-01 17:00:00,44620.3129969618,10475.097585177951,5274.000495334201,28871.21491644965,baseline
2025-01-01 18:00:00,46518.09880859375,1247.6768722180525,4729.073768988716,40541.34816738698,baseline
2025-01-01 19:00:00,47753.3267686632,0.7379143571522501,4772.094882269966,42980.49397203608,baseline
2025-01-01 20:00:00,47792.99050998264,0.7342609863148796,5709.3115028211805,42082.94474617514,baseline
2025-01-01 21:00:00,48766.12856119792,0.7332667383882735,7623.351590169271,41142.04370429026,baseline
2025-01-01 22:00:00,48667.33704210069,0.7024667440520392,9275.565049913195,39391.06952544344,baseline
2025-01-01 23:00:00,47113.08603298611,0.7268772606054942,11967.43841796875,35144.92073775675,baseline
2025-01-02 00:00:00,46362.64152560764,0.6917685751120249,15692.78075846354,30669.16899856898,baseline
2025-01-02 01:00:00,45550.05586588541,0.7189924614297019,17267.3892578125,28281.947615611483,baseline
2025-01-02 02:00:00,45394.30384114583,0.7414892520507177,18284.72212890625,27108.84022298753,baseline
2025-01-02 03:00:00,45395.90789279514,0.7666590926382276,18311.009993489584,27084.13124021292,baseline
2025-01-02 04:00:00,45376.76631076389,0.7889783044656118,18025.171707899302,27350.805624560115,baseline
2025-01-02 05:00:00,45860.45716145833,0.7899706318643358,18046.707955729165,27812.959235097303,baseline
2025-01-02 06:00:00,47439.95216579861,0.7855045102039973,18228.73523220486,29210.431429083543,baseline
2025-01-02 07:00:00,49699.50082465278,0.7874425033066008,17476.632897135416,32222.080485014056,baseline
2025-01-02 08:00:00,51557.37722873264,169.93538693798914,17131.33129123264,34256.11055056201,baseline
2025-01-02 09:00:00,52250.06522135417,4434.970021701389,15990.57199652778,31824.523203125,baseline
2025-01-02 10:00:00,51780.594418402776,10790.517584635416,12237.01605685764,28753.06077690972,baseline
2025-01-02 11:00:00,51181.53367404514,12373.5062890625,8750.644583875868,30057.38280110677,baseline
2025-01-02 12:00:00,49727.29762152778,12669.246532118055,6926.667039930556,30131.38404947917,baseline
2025-01-02 13:00:00,48729.688016493055,12334.350397135417,5714.101431749132,30681.236187608505,baseline
2025-01-02 14:00:00,48393.99588975695,12062.826637369792,4469.236771918403,31861.93248046875,baseline
2025-01-02 15:00:00,48379.72066297743,12452.875755750869,3344.037799004449,32582.807108222118,baseline
2025-01-02 16:00:00,48248.47112196181,11528.630523003472,2573.025066189236,34146.81553276909,baseline
2025-01-02 17:00:00,47809.08519097222,7634.173640679253,2465.894787055121,37709.01676323784,baseline
2025-01-02 18:00:00,48772.296942274304,1195.905148807764,2521.0441748046874,45055.34761866185,baseline
2025-01-02 19:00:00,49700.18971788194,0.5949291472302543,2970.28855061849,46729.30623811622,baseline
2025-01-02 20:00:00,49366.86644097222,0.6068374301327599,3935.933928493924,45430.32567504816,baseline
2025-01-02 21:00:00,49298.23922526042,0.6160729938083225,5438.336599934896,43859.28655233172,baseline
2025-01-02 22:00:00,48438.62151041667,0.7289415478044086,6867.53150390625,41570.36106496261,baseline
2025-01-02 23:00:00,47135.22495225695,0.7374182805087831,7289.968044704861,39844.51948927158,baseline
2025-01-03 00:00:00,45990.13499565972,0.7566426841417948,7745.123811848958,38244.25454112662,baseline
2025-01-03 01:00:00,44875.49760850694,0.7858470477660497,7432.95431749132,37441.75744396786,baseline
2025-01-03 02:00:00,44433.79814236111,0.7899101748731401,7683.517667643229,36749.49056454301,baseline
2025-01-03 03:00:00,44197.93671440972,0.8018160808748669,7914.694414605035,36282.44048372381,baseline
2025-01-03 04:00:00,43462.67898220486,0.8008203654819065,7260.699101019965,36201.17906081941,baseline
2025-01-03 05:00:00,43610.46458984375,0.8074042896429697,7256.85208984375,36352.80509571036,baseline
2025-01-03 06:00:00,44980.05056640625,0.821937524875005,7604.726429036458,37374.50219984492,baseline
2025-01-03 07:00:00,47089.93203559028,0.8229736812909444,7324.605509440104,39764.50355246888,baseline
2025-01-03 08:00:00,48711.235460069445,118.1623026104768,6663.368784722222,41929.70437273675,baseline
2025-01-03 09:00:00,49172.94039930555,3740.653308037652,5281.246398383247,40151.04069288465,baseline
2025-01-03 10:00:00,48993.65819878472,10432.470454644095,2643.064640570746,35918.12310356988,baseline
2025-01-03 11:00:00,48481.67735677084,12969.96571940104,1712.53730726454,33799.174330105256,baseline
2025-01-03 12:00:00,48173.20431640625,13424.025964626737,2191.593228624132,32557.585123155382,baseline
2025-01-03 13:00:00,47610.192786458334,13481.765386284722,3177.3939523654512,30951.03344780816,baseline
2025-01-03 14:00:00,47300.19924804688,14128.188192545573,4580.750128173828,28591.26092732748,baseline
2025-01-03 15:00:00,47800.2550889757,14607.227851833768,5597.55974351671,27595.46749362522,baseline
2025-01-03 16:00:00,47008.606545138886,14401.480335286458,6384.131649305556,26222.99456054687,baseline
2025-01-03 17:00:00,46633.58192057291,8636.028930121527,7128.320122612848,30869.23286783854,baseline
2025-01-03 18:00:00,47398.959375,1206.5956534817485,7593.082298177083,38599.28142334116,baseline
2025-01-03 19:00:00,48412.98005208333,0.6063100084000164,9684.767432725694,38727.60630934924,baseline
2025-01-03 20:00:00,48113.37448350695,0.5083423779739273,12723.41297309028,35389.45316803869,baseline
2025-01-03 21:00:00,47474.54240885417,0.5024756754438082,16111.765010850697,31362.27492232803,baseline
2025-01-03 22:00:00,46733.0188671875,0.5350773514641656,18657.93931640625,28074.544473429785,baseline
2025-01-03 23:00:00,45540.46825954861,0.6143543139100075,19481.3740234375,26058.4798817972,baseline
2025-01-04 00:00:00,43921.96764756944,0.6128327530622483,19664.720690104168,24256.63412471221,baseline
2025-01-04 01:00:00,42416.06562065972,0.6213787334495121,19492.481510416663,22922.962731509604,baseline
2025-01-04 02:00:00,41482.16644097222,0.6226734606424967,18953.571905381945,22527.971862129634,baseline
2025-01-04 03:00:00,40587.37734809028,0.636724729206827,18785.15016059028,21801.59046277079,baseline
2025-01-04 04:00:00,39950.46718315972,0.662497056192822,18154.74513671875,21795.05954938478,baseline
2025-01-04 05:00:00,39872.39961371528,0.6982595086759991,17642.68393880208,22229.01741540452,baseline
2025-01-04 06:00:00,40526.82232638889,0.7053736471467548,17467.347057291667,23058.769895450077,baseline
2025-01-04 07:00:00,41419.8406640625,0.6800606555408901,17846.251592881945,23572.909010525014,baseline
2025-01-04 08:00:00,42556.58256944444,80.9381783445014,18609.132371961805,23866.512019138136,baseline
2025-01-04 09:00:00,43872.11922743056,1663.2932112969293,19096.995959201387,23111.83005693224,baseline
2025-01-04 10:00:00,45653.42283420139,5399.062408311632,19349.12628472222,20905.234141167537,baseline
2025-01-04 11:00:00,47437.07758897569,7520.97157172309,20319.68616753472,19596.41984971788,baseline
2025-01-04 12:00:00,48216.54362413195,7018.351331922743,22396.874205729167,18801.31808648004,baseline
2025-01-04 13:00:00,47754.8225,5960.665824110243,22956.96865234375,18837.18802354601,baseline
2025-01-04 14:00:00,47804.523984375,5645.434891493055,23391.24990451389,18767.839188368056,baseline
2025-01-04 15:00:00,47292.59385416667,4730.78908311632,23919.704283854167,18642.10048719618,baseline
2025-01-04 16:00:00,46959.48465277778,3633.869279513889,24412.85824652778,18912.75712673611,baseline
2025-01-04 17:00:00,46813.97252604167,2832.523390299479,24697.937654079866,19283.511481662325,baseline
